geoid,Region,State,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza,pecent complete,Week
,,,,2020,25,,2739,,,,,25
,,,,2020,26,,2669,,,,,26
,,,,2020,27,,2521,,,,,27
,,,,2020,28,,2764,,,,,28
,,,,2020,29,,2647,,,,,29
,,,,2020,30,,2687,,,,,30
,,,,2020,31,,2620,,,,,31
,,,,2020,32,,2668,,,,,32
,,,,2020,33,,2595,,,,,33
,,,,2020,34,,2434,,,,,34
,,,,2020,35,,2134,,,,,35
,,,,2020,36,,1711,,,,,36
,,,,2020,37,,955,,,,,37
